year,month,day,hour,speed
2014,2,11,2,95.42
2014,2,11,3,95.97
2014,2,11,4,93.97
2014,2,11,5,97.19
2014,2,11,6,90.82
2014,2,11,7,79.52
2014,2,11,8,79.43
2014,2,11,9,80.16
2014,2,11,10,75.64
2014,2,11,11,79.09
2014,2,11,12,82.78
2014,2,11,13,83.78
2014,2,11,14,83.04
2014,2,11,15,84.22
2014,2,11,16,84.42
2014,2,11,17,86.17
2014,2,11,18,86.75
2014,2,11,19,88.72
2014,2,11,20,87.67
2014,2,11,21,94.75
2014,2,11,22,96.42
2014,2,11,23,101.05
2014,2,12,0,99.57
2014,2,12,1,98.69
2014,2,12,2,95.62
2014,2,12,3,94.93
2014,2,12,4,95.08
2014,2,12,5,97.04
2014,2,12,6,91.1
2014,2,12,7,78.53
2014,2,12,8,80.38
2014,2,12,9,76.04
2014,2,12,10,54.91
2014,2,12,11,77.54
2014,2,12,12,83.95
2014,2,12,13,84.08
2014,2,12,14,83.99
2014,2,12,15,82.65
2014,2,12,16,83.67
2014,2,12,17,83.07
2014,2,12,18,84
2014,2,12,19,87.32
2014,2,12,20,88.46
2014,2,12,21,94.61
2014,2,12,22,97.03
2014,2,12,23,100.69
2014,2,13,0,100.46
2014,2,13,1,99.35
2014,2,13,2,98.56
2014,2,13,3,95.84
2014,2,13,4,94.28
2014,2,13,5,97.17
2014,2,13,6,91.18
2014,2,13,7,68.73
2014,2,13,8,80.83
2014,2,13,9,69.02
2014,2,13,10,69.74
2014,2,13,11,76.05
2014,2,13,12,80.68
2014,2,13,13,84.34
2014,2,13,14,82.89
2014,2,13,15,85.73
2014,2,13,16,82.43
2014,2,13,17,85.63
2014,2,13,18,86.21
2014,2,13,19,88.28
2014,2,13,20,89.11
2014,2,13,21,94.33
2014,2,13,22,96.28
2014,2,13,23,99.47
2014,2,14,0,101.99
2014,2,14,1,98.77
2014,2,14,2,97.32
2014,2,14,3,95.85
2014,2,14,4,96.15
2014,2,14,5,98.45
2014,2,14,6,92.09
2014,2,14,7,81.69
2014,2,14,8,82.38
2014,2,14,9,81.19
2014,2,14,10,76.8
2014,2,14,11,79.36
2014,2,14,12,82.5
2014,2,14,13,81.87
2014,2,14,14,79.48
2014,2,14,15,84.08
2014,2,14,16,84.04
2014,2,14,17,84.76
